"","probabilities_test"
100001,0.0423687587249805
100005,0.157279315412399
100013,0.0262005285025105
100028,0.032429197880536
100038,0.180837769185196
100042,0.0318159807912783
100057,0.0248026994541158
100065,0.0850459001643383
100066,0.0304797856653966
100067,0.130127329346991
100074,0.0335668386709629
100090,0.0696739563453052
100091,0.22559313197369
100092,0.0796194992232097
100106,0.0459227463109123
100107,0.056934678294723
100109,0.120852367863086
100117,0.0416343329052144
100128,0.140048084076601
100141,0.0230765824097321
100150,0.0385854625233103
100168,0.00698731646186891
100169,0.0472364139919435
100170,0.153634650861012
100171,0.0518063939047121
100172,0.108857814403657
100184,0.112505338203579
100187,0.0629100696352535
100212,0.059103354885787
100222,0.0758729293016625
100223,0.0320285328160333
100232,0.0191896727341634
100241,0.145216914532036
100245,0.0893814368018265
100253,0.031135042000187
100256,0.167013190191577
100271,0.00805202304117522
100278,0.14152310812811
100280,0.0191677362715427
100306,0.102458292734927
100311,0.0921452354958766
100312,0.0101689425504206
100330,0.117782328566918
100331,0.0693752755861772
100352,0.159112762672469
100358,0.129864431664116
100367,0.0260324590567948
100382,0.0822990672127261
100384,0.0620476183094028
100385,0.112268616525145
100386,0.0403103229428488
100399,0.0513552886349956
100404,0.0786812588594311
100416,0.0329747710232609
100422,0.0452341702261323
100426,0.0311594606798371
100438,0.0151283430608842
100444,0.156724682117992
100445,0.209637920888161
100446,0.130044885857684
100447,0.0125757805002389
100450,0.179123066211163
100466,0.0139799781552598
100483,0.0225243621661984
100484,0.0105814019943859
100494,0.0776942718708487
100510,0.0899387176710741
100512,0.0255348517688993
100517,0.0204848638583229
100548,0.0465827486740581
100551,0.0711960863123112
100552,0.169478970722565
100553,0.0232885153163344
100561,0.252345325262055
100568,0.305249446826204
100569,0.0296778068042376
100591,0.101931605136896
100592,0.0293350378244512
100602,0.0469578449135911
100607,0.129977721828709
100613,0.130934587815567
100617,0.0957782300328436
100618,0.051479910783311
100622,0.110282785988618
100625,0.0815225326531823
100677,0.071603618912987
100699,0.0368288858881079
100702,0.366845104270314
100711,0.0578170385531809
100729,0.23829708720235
100740,0.199395254266311
100744,0.181671342191692
100745,0.0680889837047468
100747,0.201262404759685
100751,0.251906703206973
100752,0.120307142165831
100753,0.152745730132365
100754,0.117860655479858
100760,0.0181069231987237
100762,0.0587052298420296
100763,0.00853910560313539
100765,0.039028925003605
100770,0.131829467008529
100772,0.0544611972403249
100777,0.0404995553889597
100791,0.0515263406864241
100792,0.00805734963577867
100797,0.030460472538455
100823,0.0383454566472858
100826,0.0102765040506104
100830,0.0906715567257187
100836,0.190938217001753
100872,0.0431132386641405
100910,0.0404958101855777
100913,0.133815428033505
100918,0.0386001980328845
100931,0.0165182235888478
100952,0.0644466909093335
100953,0.0210092602842193
100965,0.175987737649649
100970,0.047467700049036
100982,0.118361898593433
100983,0.20682174498507
100984,0.0419048599407677
